UMAP1,UMAP2,ID,height_above,labels_k2,labels_k3,labels_k4,labels_k5,labels_k6,labels_k7,labels_k8,labels_k9,labels_k10
13.310996,11.259747,7677,1.179576,0,2,2,2,2,6,6,6,6
17.338737,8.1122265,2740,2.478024,0,2,2,2,2,6,6,6,6
16.09601,10.141271,2733,1.15824,0,2,2,2,2,6,6,6,6
12.490686,24.331078,7407,0.588264,1,0,0,4,4,4,4,4,9
0.6164025,11.721053,6493,0.0,1,0,0,0,5,5,5,5,5
13.777948,9.901075,6099,0.92964,0,2,2,2,2,6,6,6,6
2.7694328,11.94458,5482,0.3048,1,0,0,0,5,5,5,5,5
6.403027,12.211576,7325,1.08204,1,0,0,0,1,0,1,1,0
15.379048,23.091331,7560,0.59436,1,0,0,4,4,4,4,4,9
12.76044,-2.7494364,14119,0.179832,0,1,1,1,0,1,0,2,2
9.591867,7.5319104,4393,0.0,0,1,1,1,0,2,2,0,4
12.113462,2.1969748,3709,0.0,0,1,1,1,0,2,2,0,1
11.344401,4.17301,3603,0.6096,0,1,1,1,0,2,2,0,4
3.3899224,11.962917,5258,1.292352,1,0,0,0,5,5,5,5,5
0.5024672,12.858647,6656,0.89916,1,0,0,0,5,5,5,5,5
16.837597,9.43993,2548,0.3048,0,2,2,2,2,6,6,6,6
10.174553,10.858378,6231,0.460248,1,0,0,0,1,0,1,1,0
10.158424,5.766753,3200,0.0,0,1,1,1,0,2,2,0,4
-7.345183,6.3750677,5335,0.527304,1,0,3,3,3,3,7,7,7
6.5317063,-4.3762836,780,1.545336,0,1,1,1,0,1,0,8,8
10.520197,1.1162888,3763,0.0,0,1,1,1,0,2,2,0,1
0.63483965,11.816487,6469,1.018032,1,0,0,0,5,5,5,5,5
12.101933,2.1636107,4957,2.4384,0,1,1,1,0,2,2,0,1
-7.5508423,6.882598,5472,1.374648,1,0,3,3,3,3,7,7,7
16.474915,8.402063,2848,1.72212,0,2,2,2,2,6,6,6,6
12.76013,-2.743915,14061,0.652272,0,1,1,1,0,1,0,2,2
-0.79786956,14.6912565,8063,0.9144,1,0,0,0,5,5,5,5,5
8.768661,1.685059,3957,0.0,0,1,1,1,0,2,2,0,1
5.5325394,12.991299,7480,0.0762,1,0,0,0,1,0,1,1,0
14.151606,10.080095,6237,0.972312,0,2,2,2,2,6,6,6,6
2.6237266,13.837369,6294,0.12192,1,0,0,0,5,5,5,5,5
5.8506002,-4.585468,783,1.42748,0,1,1,1,0,1,0,8,8
