ID,height_above
5896,0.557784
5897,1.73736
5898,0.173736
5915,2.718816
5918,0.362712
5919,1.05156
5932,2.34696
5933,0.70104
5934,0.829056
5936,2.16408
5940,0.908304
5941,1.426464
5945,0.454152
5946,1.368552
5947,0.268224
5948,0.179832
5954,1.0341864
5956,0.7979664
5957,0.1908048
5961,1.03632
5966,2.139696
5967,1.335024
5968,1.923288
5969,1.606296
5971,1.545336
5973,1.34112
5974,1.816608
5975,0.344424
6031,
6036,0
6043,0.524256
6046,0.124968
6067,1.2192
6068,0.445008
6071,0
6073,1.161288
6074,0.65532
6075,1.408176
6076,0.9906
6086,0.597408
6088,0.134112
6092,0.954024
6094,0.50292
6095,0.33528
6097,1.155192
6098,0.47244
6099,0.92964
6100,0.54864
6101,0.832104
6103,0.3048
6105,0.551688
6106,0.8382
6107,0
6109,0.515112
6114,0
6115,0.70104
6116,1.304544
6117,1.152144
6118,1.624584
6119,1.34112
6134,0.9144
6136,0.310896
6137,0.88392
6138,0.65532
6139,0
6140,0.10668
6158,0.28956
6159,0
6160,0.246888
6161,0.5334
6162,0.984504
6163,0
6164,0.176784
6165,0
6166,0.454152
6172,0.201168
6173,0
6174,0
6175,0.140208
6176,0.3048
6187,0.73152
6189,2.35458
6217,1.6002
6218,0.438912
6224,0
6225,0.262128
6226,0
6227,1.34112
6229,0.42672
6231,0.460248
6232,
6233,0.786384
6237,0.972312
6239,0.618744
6240,0.085344
6241,0.886968
6242,0.79248
6243,0.399288
6244,1.365504
6245,0.292608
6247,0
6251,1.597152
6252,1.091184
6253,0.728472
6254,0
6255,0.89916
6256,0.466344
6257,1.551432
6258,0.505968
6259,0.6858
6260,0.722376
6261,1.429512
6263,1.26492
6266,1.420368
6267,0.515112
6268,0.490728
6269,1.069848
6270,0.48768
6271,0.865632
6272,0.70104
6284,1.99644
6285,0
6289,1.807464
6294,0.12192
6300,2.65176
6301,2.520696
6302,1.499616
6303,1.6764
6307,0.03048
6316,1.179576
6332,0.6096
6334,0.64008
6345,
6357,1.469136
6359,1.143
6361,1.41732
6375,
6377,0
6382,1.05156
6384,0.542544
6386,0
6389,0
6409,0.301752
6410,0.70104
6411,1.271016
6412,0.85344
6432,0.12192
6448,0.377952
6469,1.018032
6474,0
6476,0
6477,0.569976
6491,
6492,0.48768
6493,0
6496,0
6499,0
6511,0
6512,0
6513,0
6516,0
6520,0
6524,0
6530,0.195072
6531,0
6532,
6533,0.402336
6534,2.252472
6535,3.163824
6536,2.27076
6537,1.685544
6538,0.6096
6539,0
6541,0.2286
6543,0.6096
6544,0.9144
6545,0.4572
6546,1.560576
6547,0.36576
6548,1.32588
6550,0
6551,0.420624
6552,
6553,1.2192
6563,0
6570,0.59436
6584,0
6588,0.527304
6590,0
6593,1.322832
6598,0
6639,0.149352
6646,0.420624
6648,1.822704
6649,1.594104
6651,0.637032
6654,0
6655,0.57912
6656,0.89916
6657,0.280416
6658,
6660,0.173736
6663,1.536192
6665,
6666,
6669,0
6670,
6671,
6673,
6674,0
7216,0.451104
7217,0.451104
7218,0.6096
7219,0.6096
7220,0.13716
7221,0.999744
7222,1.450848
7223,1.377696
7224,
7225,
7226,0.621792
7227,0.86868
7228,0.8382
7229,0.115824
7230,
7231,
7232,0.786384
7233,0.704088
7234,0.1524
7235,0.618744
7236,1.3716
7237,0.1524
7238,0.280416
7239,0.277368
7240,0.323088
7241,0.094488
7242,0.051816
7243,0.463296
7246,0.323088
7247,
7248,
7249,0.417576
7250,0.381
7251,0.2286
7252,0.5334
7259,1.03632
7260,1.420368
7261,2.8593288
7262,
7266,0.390144
7267,0.633984
7268,0.704088
7270,
7271,2.212848
7272,
7277,0
7278,0.48768
7279,0
7280,0.3048
7281,0.16002
7282,1.685544
7283,0.819912
7284,0.408432
7285,1.09728
7286,0.402336
7287,1.13538
7288,1.423416
7289,0.10668
7290,0.6693408
7291,0
7292,0.448056
7293,0.85344
7294,0
7295,0.4032504
7296,1.414272
7297,0.155448
7298,0
7299,0.496824
7300,0.612648
7301,0.298704
7303,0.65532
7304,1.837944
7306,0.88392
7307,0.762
7308,0.3048
7309,1.23444
7310,0.329184
7311,0.420624
7312,0.368808
7313,0.478536
7314,0.460248
7315,0.652272
7316,0.758952
7317,0.496824
7318,0.847344
7319,0.515112
7320,0
7321,0.18288
7322,0.67056
7323,0.03048
7324,0.74676
7325,1.08204
7326,1.078992
7327,1.776984
7328,0.963168
7329,1.92024
7330,1.179576
7331,1.17348
7332,0.694944
7333,0
7334,0
7335,0.124968
7336,0.551688
7337,0
7338,0.03048
7340,0.03048
7341,1.106424
7342,1.563624
7346,1.207008
7347,1.210056
7348,0.566928
7349,0.41148
7350,0.03048
7351,0.03048
7352,0.03048
7353,0.4572
7354,0.371856
7355,0.03048
7358,2.414016
7359,2.069592
7360,1.414272
7361,1.664208
7362,1.487424
7363,0.414528
7364,1.853184
7365,1.956816
7366,1.319784
7367,1.969008
7368,1.892808
7369,1.484376
7370,1.871472
7371,1.011936
7372,1.014984
7373,0.109728
7374,0.103632
7375,0.13716
7376,0.0762
7377,0.240792
7378,0.737616
7379,1.350264
7380,1.32588
7386,0.664464
7388,0.5334
7390,0.338328
7394,0.573024
7398,0
7402,0.646176
7403,0.448056
7404,0.591312
7405,1.301496
7406,0.801624
7407,0.588264
7410,1.018032
7411,1.17348
7412,1.030224
7413,0.0762
7414,0.12192
7415,0.316992
7416,0.978408
7417,0.3048
7418,0.97536
7419,1.6002
7420,1.283208
7421,1.298448
7422,0.24384
7423,0.673608
7424,0
7425,0.652272
7426,0.161544
7427,0.1524
7428,1.2954
7431,0.249936
7433,0.2286
7435,1.322832
7437,0.984504
7438,0.85344
7439,0.490728
7440,0.819912
7441,0.762
7442,0.21336
7443,
7444,0.603504
7446,0.80772
7447,1.207008
7448,0.859536
7449,0.316992
7451,0.86868
7453,0.749808
7454,
7455,2.6039064
7457,0.445008
7458,1.152144
7460,1.118616
7461,0.210312
7462,0.179832
7463,0.490728
7464,0.48768
7465,0.758952
7466,1.106424
7467,0.993648
7468,
7469,
7470,0.256032
7471,0.298704
7472,0.697992
7473,0.704088
7474,0.938784
7475,0.597408
7476,1.6764
7477,0
7478,0
7479,0.896112
7480,0.0762
7481,0.551688
7482,0.140208
7483,0.35052
7484,0
7486,1.792224
7487,0
7488,0
7511,1.155192
7513,0.509016
7514,0.463296
7516,0.073152
7517,0.691896
7518,0.704088
7521,1.383792
7522,1.475232
7525,0.984504
7526,0.972312
7527,1.103376
7528,1.091184
7529,1.05156
7532,0.41148
7533,1.770888
7545,0.460248
7546,0.451104
7547,0.097536
7548,0.118872
7549,0.996696
7550,0.935736
7552,0.484632
7553,0.332232
7554,0.612648
7555,0.499872
7556,0.313944
7557,0.344424
7558,0.21336
7559,0.374904
7560,0.59436
7561,0.847344
7594,1.286256
7597,0.86868
7599,0.70104
7601,0.633984
7603,0.201168
7605,0.201168
7610,0.50292
7611,0.33528
7612,0.505968
7613,0.18288
7614,0.64008
7615,1.41732
7616,1.243584
7617,1.524
7618,1.3716
7619,0.597408
7620,0.8382
7621,0.204216
7622,0.100584
7623,0.100584
7624,1.453896
7625,1.652016
7626,1.243584
7627,0.92964
7628,1.0668
7629,1.0668
7630,0.51816
7631,0.28956
7632,0.158496
7633,0.246888
7634,0.210312
7635,0.368808
7636,0.216408
7637,0.185928
7638,0.524256
7639,0.009144
7640,0.478536
7641,0.627888
7642,0.509016
7650,0.499872
7652,0.524256
7654,0.082296
7655,0.1524
7656,0.42672
7657,0.676656
7658,0.880872
7659,0.737616
7662,1.709928
7663,0.542544
7664,1.472184
7665,1.170432
7666,1.34112
7667,1.033272
7668,1.261872
7669,1.033272
7670,1.776984
7671,1.391412
7672,0.612648
7673,1.560576
7674,0.338328
7675,1.155192
7676,0.10668
7677,1.179576
7691,0.393192
7692,0.551688
7699,1.28016
7700,0.618744
7711,1.255776
7728,1.185672
7729,0
7732,0
7733,0.915924
7735,1.633728
7737,1.560576
7824,0.9144
7825,0.6096
7826,
7827,0.9144
7828,0.9144
7829,1.8288
7830,1.524
7854,
7872,
7886,0.762
7887,0.762
7889,0.9144
7890,0.9144
8053,0.1524
8054,0
8055,0
8056,0.6096
8058,0
8059,0
8060,2.1336
8061,0
8062,0
8063,0.9144
8064,0.9144
8065,0
8066,0
8067,1.2192
8068,0.3048
8069,1.2192
8070,0.704088
8073,0.957072
8074,2.828544
8075,2.779776
8076,2.944368
8077,2.779776
8078,5.21208
8079,2.718816
8084,0.33528
8085,0.109728
8086,0.27432
8107,0.39624
8113,
9594,0.771144
9602,1.594104
9766,1.133856
9767,1.121664
14010,2.01168
14011,1.9812
14021,1.9812
14022,1.816608
14023,0.387096
14059,0.73152
14060,0.71628
14061,0.652272
14062,0.643128
14064,0.131064
14119,0.179832
14684,0.24384
14685,0.24384
14686,0
14687,0
14688,0.1524
14689,0.2286
14690,0.57912
14691,0.27432
14692,0.64008
14693,2.10312
14706,0.923544
14707,0.62484
14708,0.13716
14711,0.35052
14714,0.417576
14715,0.225552
14720,
14721,
14855,1.078992
14856,0.28956
14925,0.893064
14926,1.61544
14928,1.472184
14930,0.73152
14931,1.905
14932,1.627632
14943,0.79248
14947,0.79248
14948,0.512064
15096,0.62484
15101,0.399288
15105,0.97536
15108,
15110,0.816864
15134,1.207008
15137,0.618744
