ID,S1_Date,peak_date,precipitation
770,2016-08-19,8/25/2016 12:00:00 PM,41.78772735595703
771,2016-08-19,8/25/2016 12:00:00 PM,41.78772735595703
772,2016-08-19,8/25/2016 7:03:10 PM,41.78772735595703
773,2016-08-19,8/25/2016 12:00:00 PM,41.78772735595703
774,2016-08-19,8/25/2016 12:00:00 PM,41.78772735595703
775,2016-08-19,8/25/2016 12:00:00 PM,41.78772735595703
776,2016-08-19,8/25/2016 7:03:10 PM,41.78772735595703
777,2016-08-19,8/25/2016 12:00:00 PM,41.78772735595703
778,2016-08-19,8/25/2016 12:00:00 PM,41.78772735595703
779,2016-08-19,8/25/2016 12:00:00 PM,41.78772735595703
780,2016-08-19,8/25/2016 12:00:00 PM,49.70540237426758
781,2016-08-19,8/25/2016 12:00:00 PM,49.70540237426758
782,2016-08-19,8/25/2016 12:00:00 PM,48.81098556518555
783,2016-08-19,8/25/2016 12:00:00 PM,48.81098556518555
784,2016-08-19,8/25/2016 12:00:00 PM,62.85970687866211
785,2016-08-19,8/25/2016 12:00:00 PM,48.81098556518555
786,2016-08-19,8/25/2016 12:00:00 PM,49.70540237426758
787,2016-08-19,8/25/2016 12:00:00 PM,48.81098556518555
788,2016-08-19,8/25/2016 12:00:00 PM,48.81098556518555
789,2016-08-19,8/25/2016 12:00:00 PM,48.81098556518555
790,2016-08-19,8/25/2016 12:00:00 PM,49.70540237426758
791,2016-08-19,8/25/2016 12:00:00 PM,49.70540237426758
792,2016-08-19,8/25/2016 12:00:00 PM,62.85970687866211
793,2016-08-19,8/25/2016 12:00:00 PM,49.70540237426758
794,2016-08-19,8/25/2016 12:00:00 PM,49.70540237426758
795,2016-08-19,8/25/2016 12:00:00 PM,62.85970687866211
796,2016-08-19,8/25/2016 12:00:00 PM,49.70540237426758
797,2016-08-19,8/25/2016 12:00:00 PM,62.85970687866211
2495,2016-10-04,10/11/2016 4:00:00 PM,0.0
2496,2016-10-04,10/11/2016 4:00:00 PM,0.0
2499,2016-10-04,10/11/2016 4:00:00 PM,0.0
2500,2016-10-04,10/11/2016 4:00:00 PM,0.0
2502,2016-10-04,10/11/2016 4:00:00 PM,0.0
2506,2016-10-04,10/11/2016 4:00:00 PM,0.0
2508,2016-10-04,10/11/2016 4:00:00 PM,0.0
2521,2016-10-10,10/12/2016 4:00:00 PM,0.0
2528,2016-10-04,10/11/2016 4:00:00 PM,0.0
2542,2016-10-10,10/12/2016 4:00:00 PM,0.0
2543,2016-10-10,10/12/2016 4:00:00 PM,0.0
2544,2016-10-10,10/12/2016 4:00:00 PM,0.0
