ID,peak_date,nlcd_year,total_area_km2,pct_area_1,pct_area_2,area_km_1,area_km_2,cai_1,cai_2
2547,10/12/2016 4:00:00 PM,2016,9.1809,14.792667385550438,7.68552102735026,1.3581,0.7056,15.804195804195805,0.0
2548,10/12/2016 4:00:00 PM,2016,9.1809,13.233996666993434,6.969904911283208,1.215,0.6399,0.0,0.0
2549,10/12/2016 4:00:00 PM,2016,9.1809,13.704538770708755,7.009116753259484,1.2582,0.6435,0.0,0.0
2550,10/12/2016 4:00:00 PM,2016,9.1809,13.537888442309578,6.979707871777277,1.2429,0.6408,0.0,0.0
2552,10/12/2016 4:00:00 PM,2016,9.1809,12.783060484266247,6.783648661895893,1.1736,0.6228,0.0,0.0
2555,10/12/2016 4:00:00 PM,2016,9.1809,13.165375943534949,6.969904911283208,1.2087,0.6399,0.0,0.0
2687,10/12/2016 4:00:00 PM,2016,9.1809,6.6464072149789235,0.039211841976276834,0.6102,0.0036,15.36189069423929,0.0
2688,10/12/2016 4:00:00 PM,2016,9.1809,6.636604254484854,0.039211841976276834,0.6093,0.0036,15.946348733233979,0.0
2689,10/12/2016 4:00:00 PM,2016,9.1809,6.6464072149789235,0.039211841976276834,0.6102,0.0036,15.578635014836795,0.0
2690,10/12/2016 4:00:00 PM,2016,9.1809,6.705224977943339,0.039211841976276834,0.6156,0.0036,15.058479532163743,0.0
2691,10/12/2016 4:00:00 PM,2016,9.1809,4.636800313694736,0.019605920988138417,0.4257,0.0018,8.374384236453203,0.0
2692,10/12/2016 4:00:00 PM,2016,9.1809,6.175865111263602,0.08822664444662288,0.567,0.0081,19.047619047619047,0.0
2693,10/12/2016 4:00:00 PM,2016,9.1809,6.175865111263602,0.1274384864228997,0.567,0.0117,18.852459016393443,0.0
2694,10/12/2016 4:00:00 PM,2016,9.1809,5.1563572198804035,0.6469953926085679,0.4734,0.0594,11.336032388663968,0.0
2695,10/12/2016 4:00:00 PM,2016,9.1809,4.901480247034605,0.6764042740907754,0.45,0.0621,7.439824945295404,0.0
2704,10/12/2016 4:00:00 PM,2016,9.1809,6.548377610038232,0.8822664444662289,0.6012,0.081,18.57379767827529,0.0
2705,10/12/2016 4:00:00 PM,2016,9.1809,7.607097343397706,1.137143417312028,0.6984,0.1044,20.338983050847457,0.0
2706,10/12/2016 4:00:00 PM,2016,9.1809,9.587295363199686,3.372218409959808,0.8802,0.3096,25.42759407069555,0.0
