ID,peak_date,VV_Min,VV_Max,VV_Mean,VV_IQR,VV_SD,VH_Min,VH_Max,VH_Mean,VH_IQR,VH_SD,VH_VV_Ratio
7466,10/10/2018 7:31:00 PM,-29.08286,1.769279,-12.071963,3.7636096477508545,2.7010891,-50.939587,0.0,-23.849808,14.346105098724365,8.662169,1.9756362
7467,10/10/2018 7:31:00 PM,-29.08286,1.769279,-12.008787,3.80269718170166,2.7969656,-50.939587,0.0,-23.681322,14.310197830200195,8.754368,1.9719995
7468,10/10/2018 6:40:00 PM,,,,,,,,,,,
7469,10/10/2018 6:40:00 PM,,,,,,,,,,,
7470,10/10/2018 7:31:00 PM,-31.643988,1.0165629,-11.910839,4.0175981521606445,2.9838161,-50.939587,0.0,-22.998583,13.9769868850708,8.754376,1.9308953
7471,10/10/2018 7:31:00 PM,-31.643988,1.0165629,-11.910839,4.0175981521606445,2.9838161,-50.939587,0.0,-22.998583,13.9769868850708,8.754376,1.9308953
7472,10/10/2018 7:31:00 PM,-32.98496,1.0165629,-11.982206,4.243462562561035,3.0813031,-50.939587,0.0,-22.98051,14.100305557250977,8.6873045,1.9178864
7473,10/10/2018 7:31:00 PM,-32.98496,1.0165629,-11.982206,4.243462562561035,3.0813031,-50.939587,0.0,-22.98051,14.100305557250977,8.6873045,1.9178864
7474,10/10/2018 7:31:00 PM,-32.98496,1.0165629,-12.122287,4.383277893066406,3.0973668,-48.173717,0.0,-23.551743,14.703004837036133,8.835035,1.9428465
7475,10/10/2018 7:31:00 PM,-32.98496,1.0165629,-12.122287,4.383277893066406,3.0973668,-48.173717,0.0,-23.551743,14.703004837036133,8.835035,1.9428465
7476,10/10/2018 8:48:00 AM,-27.826471,8.426303,-11.214675,3.14752197265625,2.7496703,-50.52451,1.7228165,-25.509508,7.844587326049805,7.508086,2.2746542
7477,10/10/2018 5:38:00 PM,-22.719454,0.0,-11.245655,2.0820207595825195,1.7962425,-49.43894,0.0,-30.140747,8.490158081054688,6.8011937,2.6802127
7478,10/10/2018 5:38:00 PM,-22.719454,0.0,-11.245655,2.0820207595825195,1.7962425,-49.43894,0.0,-30.140747,8.490158081054688,6.8011937,2.6802127
7479,10/10/2018 5:38:00 PM,-25.861284,0.0,-11.788852,2.3903942108154297,2.1949728,-51.712082,0.0,-30.21027,9.220439910888672,7.4962215,2.5626135
7480,10/10/2018 5:38:00 PM,-27.399725,0.0,-9.547219,2.1518802642822266,2.1099467,-46.283,0.0,-15.187323,2.329326629638672,2.8508825,1.5907588
7481,10/10/2018 5:38:00 PM,-16.582026,0.0,-8.994908,1.9834403991699219,1.6578748,-24.686005,0.0,-14.080703,2.0590524673461914,1.9487754,1.5654081
7482,10/10/2018 5:38:00 PM,-16.582026,0.0,-9.11314,1.9626569747924805,1.6466656,-26.547468,0.0,-14.3215685,2.1531448364257812,2.0176811,1.5715295
7483,10/10/2018 5:38:00 PM,-32.582165,4.832858,-11.427564,4.504514455795288,3.3340716,-50.66937,0.0,-23.264915,16.897741556167603,9.821548,2.0358596
7484,10/10/2018 5:38:00 PM,-32.582165,4.832858,-11.427564,4.504514455795288,3.3340716,-50.66937,0.0,-23.264915,16.897741556167603,9.821548,2.0358596
7486,10/10/2018 8:48:00 AM,-24.75913,8.426303,-11.165199,3.1052494049072266,2.6361282,-52.691463,1.7228165,-25.577045,7.774051666259766,7.3158035,2.2907827
7487,10/10/2018 5:38:00 PM,-27.3993,0.0,-11.351927,4.696931838989258,3.239791,-48.910427,0.0,-22.763138,16.79936146736145,9.85431,2.0052223
7488,10/10/2018 5:38:00 PM,-32.27276,5.4190326,-11.536264,4.5458831787109375,3.1757228,-48.181942,0.0,-22.056955,15.278512001037598,9.200797,1.9119669
7511,10/10/2018 6:40:00 PM,,,,,,,,,,,
7513,10/10/2018 5:38:00 PM,-25.71058,0.0,-11.655339,2.3727288246154785,2.4211905,-49.755917,0.0,-30.073559,9.173457622528076,7.914977,2.5802388
7514,10/10/2018 5:38:00 PM,-25.71058,0.0,-11.655339,2.3727288246154785,2.4211905,-49.755917,0.0,-30.073559,9.173457622528076,7.914977,2.5802388
7516,10/10/2018 5:38:00 PM,-25.71058,0.0,-11.712268,2.3642349243164062,2.3051238,-49.755917,0.0,-30.41923,8.991329193115234,7.612813,2.597211
7517,10/10/2018 5:38:00 PM,-25.71058,6.9429135,-11.684883,2.388680934906006,2.3539631,-49.755917,0.0,-30.115559,9.240984439849854,7.9045796,2.5773094
7518,10/10/2018 5:38:00 PM,-25.71058,6.9429135,-11.684883,2.388680934906006,2.3539631,-49.755917,0.0,-30.115559,9.240984439849854,7.9045796,2.5773094
7521,10/10/2018 5:38:00 PM,-23.520061,6.9429135,-11.686305,2.4324567317962646,2.3806045,-49.33176,0.0,-29.892527,9.524103164672852,8.0521,2.557911
7522,10/10/2018 5:38:00 PM,-23.520061,6.9429135,-11.686305,2.4324567317962646,2.3806045,-49.33176,0.0,-29.892527,9.524103164672852,8.0521,2.557911
7525,10/10/2018 5:38:00 PM,-23.520061,6.9429135,-11.624023,2.458202600479126,2.3914955,-49.33176,0.0,-29.826576,9.591897010803223,8.069786,2.5659425
7526,10/10/2018 5:38:00 PM,-23.520061,6.9429135,-11.624023,2.458202600479126,2.3914955,-49.33176,0.0,-29.826576,9.591897010803223,8.069786,2.5659425
7527,10/10/2018 5:38:00 PM,-23.45509,6.9429135,-11.591187,2.466407299041748,2.4297535,-49.420883,0.0,-29.751064,9.63864517211914,8.126386,2.5666971
7528,10/10/2018 5:38:00 PM,-23.45509,6.9429135,-11.591187,2.466407299041748,2.4297535,-49.420883,0.0,-29.751064,9.63864517211914,8.126386,2.5666971
7529,10/10/2018 8:48:00 AM,-23.74347,0.0754334,-9.244816,2.9484846591949463,2.3789735,-39.224884,0.0,-14.292196,3.0885531902313232,2.700818,1.5459688
7532,10/10/2018 7:31:00 PM,-29.08286,1.769279,-11.829964,3.8019723892211914,2.805548,-50.939587,0.0,-22.546473,13.059688568115234,8.427321,1.9058784
7533,10/10/2018 8:48:00 AM,-33.98356,6.8589044,-9.045515,3.1174545288085938,2.9709053,-47.8707,0.0,-14.610358,3.169196128845215,3.569572,1.6152047
7545,10/10/2018 5:38:00 PM,-23.45509,5.3270063,-11.606303,2.496598958969116,2.445837,-49.420883,0.0,-29.62556,9.82437801361084,8.157911,2.5525405
