ID,latitude,longitude
2811,34.4650833,-79.3526333
2812,34.4650833,-79.352633
2813,34.4655191,-79.3528106
2814,34.4599107,-79.3583082
2815,34.447667,-79.341667
2816,34.44895,-79.341567
2817,34.44675,-79.342967
2818,34.4407,-79.3510333
2819,34.448967,-79.3416833
2820,34.44875,-79.34185
2821,34.144647,-79.200483
2822,34.144649,-79.200485
2823,34.159408,-79.221391
2824,34.159406,-79.221389
2829,34.476778,-79.353639
2839,34.093242,-79.33007
2840,34.09292,-79.329988
2841,34.092921,-79.329986
2842,34.093244,-79.330072
2843,34.093242,-79.330074
2844,34.09324,-79.33007
2845,33.8511043,-79.2792125
2846,33.8511045,-79.2792124
2847,33.8508737,-79.2798814
2848,33.8508739,-79.2798815
2849,33.851324,-79.2813495
2850,33.8517294,-79.2802188
2851,33.6301614,-79.5006743
2852,33.6305898,-79.5006636
2853,33.6307169,-79.5008067
2863,34.50545,-79.40803
2864,34.505467,-79.40805
2865,34.316916,-79.293683
2866,34.611179,-79.500632
2867,34.31616,-79.29293
2868,34.31615,-79.29292
2869,34.4655192,-79.3529107
2872,34.60122,-79.45975
3193,29.15013,-95.30852
3194,29.15013,-95.30852
3195,29.0956,-95.2828
3196,29.0956,-95.2828
3197,29.0956,-95.2828
3200,29.0636,-95.3213
3201,29.0636,-95.3213
3202,29.0676,-95.3598
3203,29.0676,-95.3598
3204,29.0676,-95.3598
3205,29.11175,-95.37351
3206,29.11175,-95.37351
3208,29.11175,-95.37351
3210,29.1256,-95.45393
3211,29.1256,-95.45393
3212,29.11085,-95.45239
3213,29.11085,-95.45239
3214,29.0437,-95.4429
3252,28.89147,-96.62828
3253,28.89182,-96.62823
3257,28.9606,-96.68526
3258,28.91946,-96.66553
3262,28.89846,-96.6049
3264,28.89838,-96.60468
3265,29.00114,-96.70797
3266,29.00093,-96.70828
3270,29.05946,-96.7355
3271,29.05946,-96.7355
3274,29.07241,-96.78111
3275,29.10019,-96.8086
3324,29.29667,-95.35667
3325,29.29667,-95.35667
3327,29.6173,-95.7326
3328,29.6173,-95.7326
3329,29.6113,-95.7819
3332,29.6253,-95.7154
3334,29.6253,-95.7154
3476,29.3446,-96.1947
3477,29.3446,-96.1947
3478,29.3277,-96.1178
3479,29.3277,-96.1178
3482,29.3277,-96.1178
3483,29.30928,-96.10314
3484,29.30928,-96.10314
3485,29.30606,-96.1041
3486,29.30606,-96.1041
3487,29.29168,-96.06067
3488,29.29168,-96.06067
3489,29.25333,-96.15856
3490,29.25333,-96.15856
3491,29.2498,-96.1058
3492,29.2498,-96.1058
3493,29.16217,-96.04357
3494,29.16217,-96.04357
3496,29.30599,-96.13424
3497,29.30599,-96.13424
3546,29.76617,-97.60491
3562,29.5435,-95.7794
3563,29.5435,-95.7794
3570,29.5785,-95.794
3571,29.5785,-95.794
3572,29.5785,-95.794
3573,29.5653,-95.8038
3574,29.5653,-95.8038
3575,29.5653,-95.8038
3582,29.41312,-97.36591
3583,29.4505,-97.38682
3585,29.56997,-95.8163
3586,29.56997,-95.8163
3587,29.56997,-95.8163
3592,29.55893,-95.63732
3593,29.55893,-95.63732
3594,29.52887,-95.62402
3595,29.54723,-95.54969
3596,29.54723,-95.54969
3597,29.54723,-95.54969
3598,29.5306,-95.5931
3599,29.5306,-95.5931
3600,29.5306,-95.5931
3602,29.41159,-95.71145
3603,29.51778,-95.58792
3604,29.51778,-95.58792
3617,29.59133,-95.04104
3618,29.59133,-95.04103
3637,29.5747,-95.60663
3640,29.5747,-95.60663
3642,29.4865,-95.6095
3694,30.14694,-96.95699
3695,29.99859,-97.04358
3696,30.01009,-97.03794
3698,29.96539,-97.03149
3699,29.96445,-97.00214
3703,30.04901,-96.8923
3709,29.5129,-96.6284
3712,29.5129,-96.6284
3714,29.9048,-96.8842
3715,29.5089,-96.6387
3716,29.90504,-96.88506
3717,29.5089,-96.6387
3719,29.4862,-96.7027
3720,29.4862,-96.7027
3721,29.46573,-96.54445
3722,29.89692,-96.87068
3723,29.46533,-96.54445
3725,29.89737,-96.87056
3727,29.36260156,-96.5766
3728,29.86745,-96.93265
3729,29.3624391,-96.57748
3730,29.86539,-96.9332
3731,29.23343779,-96.49861111
3732,29.23401286,-96.50175
3733,29.22788,-96.6067
3734,29.22767,-96.60685
3735,29.22742,-96.58295
3736,29.22751426,-96.58302
3740,29.09998,-96.60583
3741,29.10011,-96.60555
3746,29.66759,-96.50367
3748,29.6643,-96.50516
3751,29.63853,-96.59372
3752,29.86567,-96.81862
3753,29.86524,-96.81828
3757,29.63819,-96.59389
3761,29.85181,-97.13347
3762,29.85233,-97.13335
3763,29.84544,-97.04461
3764,29.84596,-97.04439
3766,29.57926,-96.41842
3767,29.58208,-96.41498
3773,30.0116,-96.91731
3774,29.50378,-95.19426
3775,29.50378,-95.19426
3783,29.95088809,-96.51694444
3785,29.84898,-96.80976
3788,29.84898,-96.80976
3856,29.51016,-96.82623
3858,29.4922,-96.83736
3859,29.49993,-96.81396
3861,29.0383,-96.62115
3872,29.45055,-96.35009
3911,29.597,-96.83376
3941,29.43966,-96.31776
3942,29.4401,-96.31777
3943,29.61833,-96.91248
3944,29.60645,-96.97903
3945,29.82364,-97.08382
3946,29.82338,-97.0835
3948,29.81619,-97.20261
3949,29.81179,-97.1395
3950,29.81179,-97.1395
3951,29.80594,-97.06532
3952,29.80594,-97.06532
3953,29.65353,-97.02212
3954,29.78003,-96.70595
3955,29.70264,-97.00375
3956,29.42403,-96.28416
3957,29.42363,-96.28413
3958,29.7382,-96.69336
3959,29.73966,-96.97211
3960,29.7382,-96.69336
3961,29.72764,-96.55216
3962,29.77006,-96.9093
3963,29.73022,-96.55226
3967,29.71559,-96.54726
3968,29.68308,-96.93722
3970,29.71562,-96.54789
3971,29.71137,-96.70101
3972,29.71125,-96.7012
3973,29.71181,-96.54929
3976,29.71181,-96.54929
3993,29.70708,-96.54678
3996,29.70758,-96.547
3998,29.69671,-96.69794
3999,29.69672,-96.69786
4001,29.69482,-96.54441
4002,29.69439,-96.54531
4032,29.68195,-96.9268
4035,29.6823,-96.88776
4037,29.68869,-96.86626
4039,29.6975,-96.83832
4042,29.72665,-96.84562
4052,29.42720295,-96.72555556
4069,29.43515,-96.82509
4071,29.46713,-96.81269
4078,29.37996454,-96.7874
4103,29.38567163,-96.76763
4106,29.32699,-96.76865
4111,29.2728642,-96.71916667
4215,30.51554,-95.26082
4216,30.51554,-95.26082
4264,29.67496,-96.26756
4265,29.67477,-96.2674
4268,29.63198,-96.27022
4269,29.63161,-96.27065
4271,29.62676,-96.13404
4276,29.58992,-96.17787
4277,29.59014,-96.17764
4279,29.56367,-96.141456
4280,29.5636,-96.14168
4282,29.55718,-96.07871
4284,29.53312,-96.1088
4286,29.53363,-96.10903
4324,30.15665,-94.70087
4325,30.16414,-94.64312
4326,30.11805,-94.64017
4354,30.4178,-94.90063
4355,30.4178,-94.90063
4358,30.29077,-94.80543
4359,30.29077,-94.80543
4360,30.28968,-94.81793
4361,30.28968,-94.81793
4362,30.27791,-94.79971
4363,30.27698,-94.79485
4364,30.1132063,-94.770581
4365,30.1132063,-94.770581
4366,30.12944,-94.87336
4367,30.12944,-94.87336
4368,30.28203,-94.94485
4369,30.28203,-94.94485
4370,30.17716,-94.86602
4371,30.13511,-94.82249
4372,30.12842,-94.86101
4373,30.12842,-94.86101
4374,30.125,-94.85508
4375,30.125,-94.85508
4381,29.75451484,-94.85424461
4382,29.74503647,-94.82805337
4383,29.7140914,-94.85878143
4384,29.6894513,-94.86578317
4385,29.66589073,-94.8826668
4386,29.65764,-94.917
4387,29.65764,-94.917
4390,29.67838161,-94.92551096
4391,29.67832145,-94.92544378
4392,29.68678224,-94.93423757
4393,29.68669679,-94.93422235
4493,30.50193,-95.03129
4494,30.50193,-95.03129
4496,30.53514,-94.94645
4497,30.53514,-94.94645
4498,30.55911,-94.8819
4499,30.55911,-94.8819
4525,29.91171,-95.08942
4526,29.91177,-95.08945
4537,29.8172,-95.07413
4538,29.817,-95.07412
4548,30.60359,-94.95793
4549,30.60359,-94.95793
4550,30.68371,-94.95556
4551,30.68371,-94.95556
4552,30.70097,-94.99741
4553,30.70097,-94.99741
4554,30.65944,-94.97763
4555,30.65944,-94.97763
4734,29.48612,-96.70246
4772,30.01763,-97.05989
4777,29.45336,-96.76177
4837,29.74489618,-94.82814509
4859,29.82496,-96.34176
4860,29.82444,-96.34243
4861,29.77458,-96.37673
4862,29.77985,-96.31662
4863,29.77988,-96.31432
4864,29.75124,-96.2974
4865,29.74953,-96.29592
4866,29.67496,-96.26756
4867,29.7029,-96.19885
4868,29.7019,-96.19994
4869,29.66113,-96.24314
4870,29.65916,-96.24536
4871,29.62217,-96.22569
4872,29.62384,-96.22586
4873,29.6297,-96.14496
4874,29.6221,-96.14633
4875,29.6018,-96.0897
4876,29.6018,-96.0897
4956,30.32141,-95.04375
4957,30.35497,-95.0524
4958,30.06112,-95.13171
4959,30.06727,-95.09903
4977,29.81618,-97.20365
4987,29.79388,-96.69297
5252,25.84512,-81.38683
5258,25.850305,-81.384513
5259,25.848879,-81.384769
5271,25.92168,-81.64848
5301,25.94819,-81.58389
5310,26.26116389,-80.08355
5315,27.037625,-80.11130556
5316,27.037625,-80.11130556
5328,27.763484,-80.396882
5329,27.763484,-80.396882
5335,24.6708,-81.3699
5338,24.6708,-81.3699
5339,24.6708,-81.3699
5346,24.6697,-81.3681
5351,24.5521,-81.7544
5352,24.5521,-81.7544
5355,24.6691,-81.3454
5357,24.6691,-81.3454
5358,24.6658,-81.4977
5360,24.6658,-81.4977
5362,24.549,-81.7853
5363,24.549,-81.7853
5368,24.6659,-81.3868
5369,24.6659,-81.3868
5371,33.56194444,-79.08555556
5384,25.70923,-81.24991
5385,25.70923,-81.24991
5386,25.87209,-81.38206
5413,24.6908,-81.3581
5417,24.6663,-81.4199
