Unnamed: 0,ID,longitude,latitude,maxwind_kph_day,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,dewpoint_c,uv,gust_kph,feelslike_c,windchill_c,heatindex_c,chance_of_rain,chance_of_snow,vis_km
570,5857,-66.496347,18.426053,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
571,5858,-66.265303,18.429337,91.5,32.6,0.2419218955996677,1007.0,6.0,83.0,24.3,0.0,65.2,28.8,26.0,28.8,100.0,0.0,7.0
572,5859,-66.53725,18.4792,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
573,5860,-66.53163,18.47097,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
574,5861,-66.53163,18.47097,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
575,5862,-66.69778,18.2666,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
576,5863,-66.67762,18.25287,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
577,5865,-66.67765,18.25277,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
578,5869,-66.70301,18.26708,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
579,5870,-66.494542,18.424831,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
580,5871,-66.494653,18.424867,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
581,5872,-66.70677,18.26667,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
582,5878,-66.71015,18.26667,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
583,5879,-66.71015,18.26667,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
584,5880,-66.71647,18.47028,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
585,5881,-66.70503,18.47053,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
586,5886,-66.523547,18.428303,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
587,5887,-66.505583,18.428172,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
588,5889,-66.49742,18.427314,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
589,5894,-66.71022,18.27357,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
590,5895,-66.70889,18.26937,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
591,5896,-66.70848,18.27248,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
592,5897,-66.70289,18.28291,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
593,5898,-66.69133,18.26036,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
594,5915,-66.720725,18.46671944,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
595,5918,-66.679958,18.254992,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
596,5919,-66.696553,18.266183,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
597,5932,-66.84399,18.03288,74.4,24.5,-0.2419218955996678,1007.0,0.2,76.0,22.6,0.0,47.5,30.2,27.2,30.2,100.0,0.0,10.0
598,5933,-66.84455,18.03675,74.4,24.5,-0.2419218955996678,1007.0,0.2,76.0,22.6,0.0,47.5,30.2,27.2,30.2,100.0,0.0,10.0
599,5934,-66.84595,18.03514,74.4,24.5,-0.2419218955996678,1007.0,0.2,76.0,22.6,0.0,47.5,30.2,27.2,30.2,100.0,0.0,10.0
600,5936,-66.84431,18.03879,74.4,24.5,-0.2419218955996678,1007.0,0.2,76.0,22.6,0.0,47.5,30.2,27.2,30.2,100.0,0.0,10.0
601,5940,-66.84391,18.03853,74.4,24.5,-0.2419218955996678,1007.0,0.2,76.0,22.6,0.0,47.5,30.2,27.2,30.2,100.0,0.0,10.0
602,5941,-66.84766,18.03367,74.4,24.5,-0.2419218955996678,1007.0,0.2,76.0,22.6,0.0,47.5,30.2,27.2,30.2,100.0,0.0,10.0
603,5945,-66.40976,17.95522,83.7,24.7,-0.2249510543438653,1005.0,0.5,77.0,22.6,0.0,46.3,30.1,27.1,30.1,100.0,0.0,5.0
604,5946,-66.84729,18.031764,74.4,24.5,-0.2419218955996678,1007.0,0.2,76.0,22.6,0.0,47.5,30.2,27.2,30.2,100.0,0.0,10.0
605,5947,-66.84626,18.02991,74.4,24.5,-0.2419218955996678,1007.0,0.2,76.0,22.6,0.0,47.5,30.2,27.2,30.2,100.0,0.0,10.0
606,5948,-66.409,17.95642,83.7,24.7,-0.2249510543438653,1005.0,0.5,77.0,22.6,0.0,46.3,30.1,27.1,30.1,100.0,0.0,5.0
607,5954,-66.37161,18.46197,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
608,5956,-66.35689,18.46053,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
609,5957,-66.38144,18.43408,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
610,5961,-66.83404,18.00286,74.4,24.5,-0.2419218955996678,1007.0,0.2,76.0,22.6,0.0,47.5,30.2,27.2,30.2,100.0,0.0,10.0
611,5966,-66.36337,18.43921,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
612,5967,-66.36177,18.43439,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
613,5968,-66.35625,18.4302,91.5,32.6,0.2419218955996677,1007.0,6.0,83.0,24.3,0.0,65.2,28.8,26.0,28.8,100.0,0.0,7.0
614,5969,-66.83997,17.98997,74.4,24.5,-0.2419218955996678,1007.0,0.2,76.0,22.6,0.0,47.5,30.2,27.2,30.2,100.0,0.0,10.0
615,5971,-66.72409,18.45615,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
616,5973,-66.70766,18.4167,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
617,5974,-66.6823,18.39305,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
618,5975,-67.224639,18.3155,99.5,33.8,0.374606593415912,1008.0,0.3,81.0,24.4,0.0,54.6,32.5,28.0,32.5,100.0,0.0,10.0
619,6031,-80.00775,37.29844,21.6,7.6,-0.9961946980917455,1012.0,0.4,98.0,19.0,0.0,15.2,20.0,20.0,20.0,100.0,0.0,0.0
620,6036,-79.0033333333333,33.5797222222222,60.0,44.8,-0.7771459614569708,1003.0,0.0,76.0,22.0,0.0,76.4,29.3,26.7,29.3,0.0,0.0,10.0
621,6043,-78.022587,35.405381,57.2,48.6,0.5446390350150271,1003.0,2.0,87.0,22.4,0.0,101.9,27.2,24.8,27.2,100.0,0.0,7.0
622,6046,-78.01758,35.42691,57.2,48.6,0.5446390350150271,1003.0,2.0,87.0,22.4,0.0,101.9,27.2,24.8,27.2,100.0,0.0,7.0
623,6067,-77.956546,35.38593,57.2,48.6,0.5446390350150271,1003.0,2.0,87.0,22.4,0.0,101.9,27.2,24.8,27.2,100.0,0.0,7.0
624,6068,-77.9575,35.40067,57.2,48.6,0.5446390350150271,1003.0,2.0,87.0,22.4,0.0,101.9,27.2,24.8,27.2,100.0,0.0,7.0
625,6071,-77.109185,35.071503,59.6,54.4,0.9702957262759964,997.0,6.8,86.0,22.8,0.0,119.4,27.9,25.3,27.9,100.0,0.0,7.0
626,6073,-77.037436,35.110039,59.6,54.4,0.9702957262759964,997.0,6.8,86.0,22.8,0.0,119.4,27.9,25.3,27.9,100.0,0.0,7.0
627,6074,-77.064072,35.077428,59.6,54.4,0.9702957262759964,997.0,6.8,86.0,22.8,0.0,119.4,27.9,25.3,27.9,100.0,0.0,7.0
628,6075,-77.0242208,35.499912,43.5,42.8,0.9510565162951536,1004.0,2.0,86.0,22.6,0.0,91.2,27.6,25.1,27.6,100.0,0.0,7.0
629,6076,-77.10573,35.078518,59.6,54.4,0.9702957262759964,997.0,6.8,86.0,22.8,0.0,119.4,27.9,25.3,27.9,100.0,0.0,7.0
630,6086,-77.668894,35.45555,53.2,46.4,0.7313537016191705,1003.0,2.0,87.0,22.5,0.0,100.0,27.4,24.9,27.4,100.0,0.0,10.0
631,6088,-77.582988,35.425591,54.4,49.3,0.7431448254773941,1001.0,2.4,87.0,22.5,0.0,102.0,27.4,24.9,27.4,100.0,0.0,7.0
632,6092,-76.9721065,35.4385485,43.5,42.8,0.9510565162951536,1004.0,2.0,86.0,22.6,0.0,91.2,27.6,25.1,27.6,100.0,0.0,7.0
633,6094,-79.864,34.716,21.2,14.4,0.3090169943749474,1025.0,0.0,58.0,7.7,0.0,25.9,16.0,16.0,16.0,0.0,0.0,10.0
634,6095,-79.864,34.716,21.2,14.4,0.3090169943749474,1025.0,0.0,58.0,7.7,0.0,25.9,16.0,16.0,16.0,0.0,0.0,10.0
635,6097,-76.9679031,35.4320183,43.5,42.8,0.9510565162951536,1004.0,2.0,86.0,22.6,0.0,91.2,27.6,25.1,27.6,100.0,0.0,7.0
636,6098,-79.861,34.722,21.2,14.4,0.3090169943749474,1025.0,0.0,58.0,7.7,0.0,25.9,16.0,16.0,16.0,0.0,0.0,10.0
637,6099,-79.90012,34.70899,19.8,13.7,0.2588190451025207,1025.0,0.0,57.0,7.0,0.0,24.9,15.4,15.4,15.4,0.0,0.0,10.0
638,6100,-79.896,34.705,19.8,13.7,0.2588190451025207,1025.0,0.0,57.0,7.0,0.0,24.9,15.4,15.4,15.4,0.0,0.0,10.0
639,6101,-79.89565,34.70613,19.8,13.7,0.2588190451025207,1025.0,0.0,57.0,7.0,0.0,24.9,15.4,15.4,15.4,0.0,0.0,10.0
640,6103,-79.904,34.695,19.8,13.7,0.2588190451025207,1025.0,0.0,57.0,7.0,0.0,24.9,15.4,15.4,15.4,0.0,0.0,10.0
641,6105,-79.89529,34.70872,19.8,13.7,0.2588190451025207,1025.0,0.0,57.0,7.0,0.0,24.9,15.4,15.4,15.4,0.0,0.0,10.0
642,6106,-79.89471,34.70784,19.8,13.7,0.2588190451025207,1025.0,0.0,57.0,7.0,0.0,24.9,15.4,15.4,15.4,0.0,0.0,10.0
643,6107,-79.947,34.703,19.8,13.7,0.2588190451025207,1025.0,0.0,57.0,7.0,0.0,24.9,15.4,15.4,15.4,0.0,0.0,10.0
644,6109,-79.89574,34.70434,19.8,13.7,0.2588190451025207,1025.0,0.0,57.0,7.0,0.0,24.9,15.4,15.4,15.4,0.0,0.0,10.0
